Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   4      0.007      96.7968  9.789808e-13 2.941144e-02   pass
1000   1000   4      0.004      161.5548 9.789808e-13 2.941144e-02   pass
1000   1000   4      0.003      207.5937 9.789808e-13 2.941144e-02   pass
1000   1000   4      0.003      215.7710 9.789808e-13 2.941144e-02   pass
2000   2000   4      0.014      369.4882 4.234876e-12 3.358340e-02   pass
2000   2000   4      0.014      375.8859 4.234876e-12 3.358340e-02   pass
5000   5008   4      0.191      436.9422 2.468473e-11 3.251216e-02   pass
5000   5008   4      0.190      439.8669 2.468473e-11 3.251216e-02   pass
10000  10000  4      1.314      507.3363 1.038465e-10 3.489402e-02   pass
10000  10000  4      1.311      508.4860 1.038465e-10 3.489402e-02   pass
15000  15000  4      4.137      543.9486 2.246925e-10 3.398182e-02   pass
15000  15000  4      4.128      545.2093 2.246925e-10 3.398182e-02   pass
18000  18008  4      6.936      560.6744 2.683748e-10 2.827710e-02   pass
18000  18008  4      6.942      560.1303 2.683748e-10 2.827710e-02   pass
20000  20016  4      9.622      554.3630 3.415316e-10 2.929529e-02   pass
20000  20016  4      9.612      554.9334 3.415316e-10 2.929529e-02   pass
22000  22008  4      12.552     565.6231 4.827624e-10 3.432267e-02   pass
22000  22008  4      12.548     565.7770 4.827624e-10 3.432267e-02   pass
25000  25000  4      18.151     573.9494 5.599807e-10 3.092323e-02   pass
25000  25000  4      18.006     578.5714 5.599807e-10 3.092323e-02   pass
26000  26000  4      20.064     584.0739 5.734666e-10 2.938630e-02   pass
26000  26000  4      20.114     582.6250 5.734666e-10 2.938630e-02   pass
27000  27000  4      22.510     583.0055 6.933637e-10 3.287594e-02   pass
30000  30000  1      30.300     594.1184 8.146412e-10 3.126028e-02   pass
35000  35000  1      47.787     598.1971 1.090778e-09 3.091246e-02   pass
40000  40000  1      70.007     609.5124 1.481626e-09 3.216645e-02   pass
45000  45000  1      98.895     614.3289 1.812918e-09 3.122443e-02   pass
