Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   4      0.023      28.9264  1.016021e-12 3.084711e-02   pass
1000   1000   4      0.005      129.4646 1.016021e-12 3.084711e-02   pass
1000   1000   4      0.005      129.2379 1.016021e-12 3.084711e-02   pass
1000   1000   4      0.005      129.9144 1.016021e-12 3.084711e-02   pass
2000   2000   4      0.029      185.3984 3.974154e-12 3.150744e-02   pass
2000   2000   4      0.028      190.4093 3.974154e-12 3.150744e-02   pass
5000   5008   4      0.379      220.1628 2.691286e-11 3.546933e-02   pass
5000   5008   4      0.384      217.2526 2.691286e-11 3.546933e-02   pass
10000  10000  4      2.816      236.8124 9.148948e-11 3.070254e-02   pass
10000  10000  4      2.873      232.1481 9.148948e-11 3.070254e-02   pass
15000  15000  4      9.455      238.0121 2.206740e-10 3.335351e-02   pass
15000  15000  4      9.398      239.4706 2.206740e-10 3.335351e-02   pass
18000  18008  4      16.162     240.6038 3.174394e-10 3.342914e-02   pass
18000  18008  4      16.212     239.8559 3.174394e-10 3.342914e-02   pass
20000  20016  4      22.241     239.8352 4.078992e-10 3.498133e-02   pass
20000  20016  4      22.163     240.6721 4.078992e-10 3.498133e-02   pass
22000  22008  4      29.460     240.9890 4.874650e-10 3.452477e-02   pass
22000  22008  4      29.518     240.5181 4.874650e-10 3.452477e-02   pass
25000  25000  4      43.613     238.8692 6.278207e-10 3.459298e-02   pass
25000  25000  4      43.849     237.5885 6.278207e-10 3.459298e-02   pass
26000  26000  4      48.836     239.9590 5.853614e-10 2.992308e-02   pass
26000  26000  4      48.846     239.9102 5.853614e-10 2.992308e-02   pass
27000  27000  4      54.826     239.3653 6.531601e-10 3.101817e-02   pass
30000  30000  1      74.977     240.0981 8.036408e-10 3.094467e-02   pass
35000  35000  1      119.183    239.8471 1.027802e-09 2.911630e-02   pass
40000  40000  1      177.931    239.8116 1.430198e-09 3.114289e-02   pass
45000  45000  1      253.267    239.8814 1.734646e-09 2.983424e-02   pass
